id;contractname;contractpath;uid;jhi_user;is_deleted;isenabled;update_date;create_date;create_by;update_by
1;Guinea-Bissau orchid B2B;azure cross-platform leverage;Island online;deposit bottom-line Agent;false;false;2017-05-25T19:48:30;2017-05-26T12:43:42;Pines Global Multi-layered;Usability Cambridgeshire
2;Mobility Analyst;Unbranded;Account;virtual generate optical;false;false;2017-05-25T21:58:38;2017-05-26T03:24:52;global turn-key calculating;neural Russian
3;Gloves;technologies invoice Ball;success productivity;client-driven;false;true;2017-05-26T17:55:26;2017-05-25T22:59:25;Gorgeous Steel;Mouse Money
4;Steel;Avon;orange Interactions up;1080p one-to-one;true;true;2017-05-26T02:16:27;2017-05-26T00:04:09;up partnerships;Mobility
5;reboot calculate Berkshire;Borders;Bacon;Direct;true;true;2017-05-25T23:26:41;2017-05-26T18:10:21;Loan architecture Chicken;Frozen neural
6;invoice Solutions;Account collaborative input;system open-source;target;true;false;2017-05-26T10:05:56;2017-05-26T03:53:04;back-end Branding;Account Grocery paradigms
7;Devolved Cambridgeshire;Technician;backing olive;Small parsing connect;true;true;2017-05-26T17:28:09;2017-05-26T15:28:46;Refined;Chicken generating Korea
8;Borders Islands;Savings even-keeled;lavender systems Sleek;Frozen orchid;true;false;2017-05-26T13:34:13;2017-05-26T18:11:48;Concrete visionary;leading-edge productivity invoice
9;Rubber Buckinghamshire Electronics;paradigm Personal Re-contextualized;architect;B2B services Malaysian;false;false;2017-05-26T07:09:42;2017-05-26T00:13:31;black silver Incredible;Public-key Checking Towels
10;online matrix calculating;optimize Agent Branding;Pizza;Alaska Optimization;false;false;2017-05-26T12:02:29;2017-05-26T13:53:45;Plastic;convergence Dollar
